location,source,target
D9E7Deans.tips.31,2011/6/12 0:14,
D9E7Deans.Lith.32,今天是 Deans 成为 Lili 守护骑士的十周天纪念日！,
D9E7Deans.Lith.33,"特别送上 30 分钟亲亲<sprite name=""Heart"">密密特别聊天服务，有什么烦恼都可以和 Lili 倾诉哦，那么请开始你的话题吧~",
D9E7Deans.tips.34,2011/6/12 5:52,
D9E7Deans.Deans.35,哦，不用,
D9E7Deans.tips.36,2011/6/12 15:14,
D9E7Deans.Lith.37,Deans 对 Lili 好冷淡哦，是不是人家哪里做得不好？,
D9E7Deans.tips.38,2011/6/12 20:11,
D9E7Deans.Lith.39,Deans 先忙哦，如果有空要来看 Lili 呀~,
D9E7Deans.tips.40,2011/6/14 17:02,
D9E7Deans.Deans.1,你有没有听过西苍高中？,
D9E7Deans.Lith.2,嗯？没有耶,
D9E7Deans.Deans.3,我想去那个地方看看,
D9E7Deans.Lith.4,为什么呢？,
D9E7Deans.Deans.5,不知道,
D9E7Deans.Lith.6,好呀，回来给我拍照片~,
D9E7Deans.Deans.7,高中应该挺有意思的吧,
D9E7Deans.Lith.8,是呢,
D9E7Deans.Lith.9,可以和同学们一起生活,
D9E7Deans.Lith.10,老师也很好,
D9E7Deans.Lith.11,我那时候应该是在文学社,
D9E7Deans.Lith.12,笔名叫 Rese,
D9E7Deans.Lith.13,还挺有意思,
D9E7Deans.Lith.14,Deans 要不要看看我写的呀？,
D9E7Deans.Lith.15,Deans还在吗？,
D9E7Deans.tips.16,2011/6/18 15:10,
D9E7Deans.Deans.17,明天隔壁镇上的人要结婚,
D9E7Deans.Lith.18,真好呀,
D9E7Deans.Lith.19,是 Deans 的好朋友吗？,
D9E7Deans.tips.20,以上是历史消息,
D9E7Deans.Typing.21,Deans 在吗？,
D9E7Deans.Monologue.22,好像没有人回复……,
D9E7Deans.Monologue.23,感觉这个人没什么希望啊……,
D9E7Deans.Todo.100,尝试联系 Deans,
D9E7Deans.Todo.101,没有从 Deans 那里筹到钱,
